da111146b08911803b05a5788a6750e2  - /home/aditeyabaral/1000/pop-os/1021/0121/11.4.0

in    F    L    S   R2   R5   P2   P5:3 E2:5  E4
00    1    1    1    1    1    1    1    1    1
01    1    1    1    1    1    1    1    1    1
02    1    1    1    1    1    1    1    1    1
03    1    1    1    1    1    1    1    1    1
04    1    1    1    1    1    1    1    1    1
05    1    1    1    1    1    1    1    1    1
06    1    1    1    1    1    1    1    1    1
07    1    1    1    1    1    1    1    1    1

SUM   8    8    8    8    8    8    8    8    8 
72 out of 72 correct
